"국외 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,
number,origin_time,magnitude,depth,latitude,longitude,location,map
2017,2024-10-31 5:15,6,10,43.54 N,127.80 W,미국 오리건 세일럼 서남서쪽 410km 해역,지도
2016,2024-10-30 21:18,6,521,4.45 S,150.09 E,파푸아뉴기니 킴베 북쪽 123km 해역,지도
2015,2024-10-27 19:21,5.3,18,24.01 N,121.63 E,대만 화롄현 북북동쪽 5km 지역,지도
2014,2024-10-23 23:38,6.2,49,49.40 N,155.70 E,러시아 캄차카반도 페트로파블롭스크-캄차츠키 남남서쪽 452km 해역,지도
2013,2024-10-16 16:46,6,10,38.31 N,38.83 E,튀르키예 말라티아 동쪽 45km 지역,지도
2012,2024-10-13 2:43,6.2,19,10.54 N,86.13 W,코스타리카 라이베리아 서쪽 76km 해역,지도
2011,2024-10-02 5:05,6.6,10,19.41 S,172.73 W,통가 누쿠알로파 북동쪽 322km 해역,지도
2010,2024-10-01 18:28,6.1,588,6.00 S,124.92 E,인도네시아 바우바우 동남동쪽 262km 해역,지도
2009,2024-09-27 4:19,6.3,10,17.19 S,66.55 E,모리셔스 포트루이스 동북동쪽 1009km 해역,지도
2008,2024-09-24 8:14,5.9,10,31.40 N,140.00 E,일본 시즈오카현 하마마쓰시 남남동쪽 425km 해역,지도
2007,2024-09-24 4:51,6,149,0.10 S,122.89 E,인도네시아 고론탈로 남남서쪽 73km 해역,지도
2006,2024-09-22 6:24,6,130,31.92 S,66.79 W,아르헨티나 산루이스 북북서쪽 159km 지역,지도
2005,2024-09-16 20:36,6.3,43,17.14 N,147.18 E,북마리아나 제도 사이판 북동쪽 262km 해역,지도
2004,2024-09-16 7:22,6.5,10,51.68 N,130.63 W,캐나다 프린스루퍼트 남쪽 294km 해역,지도
2003,2024-09-12 1:46,6.3,10,3.27 S,146.36 E,파푸아뉴기니 마당 북북동쪽 226km 해역,지도
2002,2024-09-08 7:39,6,10,21.29 S,173.72 W,통가 누쿠알로파 동쪽 155km 해역,지도
2001,2024-09-05 10:03,6.2,10,3.49 S,144.25 E,파푸아뉴기니 마당 북서쪽 258km 해역,지도
2000,2024-09-02 5:13,6.4,50,6.83 S,155.50 E,파푸아뉴기니 부건빌 아라와 남쪽 67km 해역,지도
1999,2024-08-30 13:24,6,28,52.97 N,160.37 E,러시아 캄차카반도 페트로파블롭스크-캄차츠키 동쪽 115km 해역,지도
1998,2024-08-29 6:57,6.1,34,13.00 N,89.56 W,엘살바도르 산타테클라 남남서쪽 81km 해역,지도
1997,2024-08-26 8:29,6.9,107,19.76 S,175.04 W,통가 누쿠알로파 북쪽 155km 해역,지도
1996,2024-08-19 0:50,5.1,-,36.70 N,140.60 E,일본 이바라키현 미토시 북북동쪽 39km 지역,지도
1995,2024-08-18 4:10,7.4,44,52.70 N,160.10 E,러시아 캄차카반도 페트로파블롭스크-캄차츠키 동남동쪽 107km 해역,지도
1994,2024-08-16 8:35,6.3,10,23.74 N,121.82 E,대만 화롄현 남동쪽 34km 해역,지도
1993,2024-08-10 12:29,6.8,490,47.40 N,145.60 E,일본 홋카이도 아사히카와시 북북동쪽 476km 해역,지도
1992,2024-08-09 19:57,5.3,10,35.40 N,139.20 E,일본 가나가와현 후지사와시 서북서쪽 25km 지역,지도
1991,2024-08-08 16:43,6.9,30,31.80 N,131.70 E,일본 미야자키현 미야자키시 동남동쪽 30km 해역,지도
1990,2024-08-03 7:23,6.8,17,8.19 N,126.61 E,필리핀 마거그포 북동쪽 121km 해역,지도
1989,2024-07-29 22:07,6,10,20.37 S,173.96 W,통가 누쿠알로파 동북동쪽 154km 해역,지도
1988,2024-07-26 11:24,5.1,40,24.14 N,121.68 E,대만 화롄현 북북동쪽 20km 해역,지도
1987,2024-07-22 14:04,6,10,15.51 S,168.09 E,바누아투 포트빌라 북쪽 249km 해역,지도
1986,2024-07-21 11:53,6.2,261,14.56 N,89.97 W,과테말라 과테말라시티 동쪽 59km 지역,지도
1985,2024-07-19 12:13,6,42,52.13 N,170.93 W,미국 앵커리지 서남서쪽 1622km 해역,지도
1984,2024-07-19 10:50,7.3,126,23.12 S,67.87 W,칠레 카라마 남동쪽 131km 지역,지도
1983,2024-07-12 0:08,6.4,10,48.81 N,128.73 W,캐나다 빅토리아 서쪽 396km 해역,지도
1982,2024-07-11 11:13,7.1,620,6.07 N,123.16 E,필리핀 잠보앙가 남동쪽 152km 해역,지도
1981,2024-07-10 13:55,6.7,10,53.31 S,25.31 E,남아프리카공화국 포트엘리자베스 남쪽 2156km 해역,지도
1980,2024-07-08 5:02,6.3,530,27.10 N,139.00 E,일본 시즈오카현 하마마쓰시 남쪽 855km 해역,지도
1979,2024-07-04 12:12,5.4,50,35.20 N,140.50 E,일본 지바현 지바시 남동쪽 58km 해역,지도
1978,2024-06-29 16:05,6.1,19,16.12 S,74.58 W,페루 이카 남남동쪽 259km 해역,지도
1977,2024-06-29 15:39,5.4,266,25.45 N,122.52 E,대만 지룽시 동북동쪽 87km 해역,지도
1976,2024-06-28 14:36,7.2,28,15.81 S,74.45 W,페루 이카 남동쪽 237km 해역,지도
1975,2024-06-24 17:03,6.3,157,14.61 S,167.25 E,바누아투 포트올리 북북동쪽 51km 해역,지도
1974,2024-06-23 12:58,6,87,10.75 N,62.63 W,베네수엘라 카루파노 동쪽 69km 해역,지도
1973,2024-06-16 23:47,6,20,15.92 S,74.54 W,페루 이카 남남동쪽 242km 해역,지도
1972,2024-06-16 9:27,6,7,61.00 S,154.26 E,뉴질랜드 더니든 남남서쪽 1984km 해역,지도
1971,2024-06-09 18:55,6.2,10,53.86 S,133.99 W,뉴질랜드 더니든 동남동쪽 3968km 해역,지도
1970,2024-06-03 6:31,5.9,10,37.50 N,137.30 E,일본 도야마현 도야마시 북쪽 90km 해역,지도
1969,2024-06-01 2:10,5.5,13,24.07 N,121.57 E,대만 화롄현 북북서쪽 11km 지역,지도
